SerialNO,model,error type,blockaddress,count
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,117137408,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,116514816,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,77242368,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,87875584,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,37658624,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,7282688,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,85884928,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,63127552,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,92995584,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,11640832,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,35979264,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,31842304,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,102383616,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,92192768,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,24084480,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,94822400,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,42090496,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,108150784,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,47407104,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,61939712,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,50454528,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,12648448,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,71098368,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,74203136,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,100720640,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,12673024,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,17793024,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,68870144,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,27795456,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,55656448,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,81977344,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,119775232,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,88842240,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,85336064,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,13492224,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,43073536,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,68132864,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,81592320,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,15851520,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,60301312,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,55009280,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,84107264,2
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,52994048,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,19513344,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,11108352,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,109338624,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,109510656,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,109690880,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,57491456,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,119078912,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,62955520,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,110305280,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,108273664,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,52953088,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,105504768,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,14106624,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,117899264,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,24788992,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,110985216,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,63774720,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,64356352,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,55394304,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,89341952,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,104759296,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,47284224,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,88408064,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,14639104,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,78356480,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,38559744,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,60047360,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,105390080,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,64274432,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,55885824,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,84140032,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,53805056,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,85590016,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,38092800,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,60989440,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,4907008,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,47767552,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,72835072,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,83615744,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,63209472,2
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,119226368,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,63897600,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,65503232,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,31498240,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,10199040,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,50831360,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,64331776,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,117121024,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,68059136,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,81207296,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,71155712,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,77209600,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,72605696,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,61726720,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,79863808,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,61808640,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,31825920,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,91963392,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,53026816,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,89899008,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,81240064,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,59596800,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,90726400,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,81068032,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,69730304,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,28213248,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,98402304,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,85311488,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,58302464,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,56999936,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,425984,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,100646912,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,8650752,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,103571456,1
sleep_LGF600L15482a10_60,LG-F600L,CRC32 not,108339200,1
